# id	file_path			
[RESOURCES]
1	Resources/simon.txt
2	Resources/PlaySceneResource.txt
3	Resources/HP.txt

[TILE_SET]
-4	Resources\TileMap\scene3-1_bank.png	255	255	255
[TILE_MAP_DATA]
Resources\TileMap\scene3-1.txt
[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 1= Simon , 2 =Ground , 3 = Zombie	
# --- SCENE PORTAL ----
# type	l	t	

# Simon				
1	28	5	1
#Hunch back
#27	11	4	28	3
#27	19	6	28	3
#27	27	6	28	3
#Ghost
#28	40	7	29	3
#skeleton
25	3	6	25	3
#Candle
#stair
#dir : 1 = left, -1 = right
#-1 = up, 1= down
#	x	y	ani_set	dir	Up/down	id
31	10	5	0	1	-1	1
#Ground
2	0	0	0
2	0	1	0
2	0	2	0
2	0	3	0
2	0	4	0
2	0	5	0
2	0	6	0
2	0	7	0
2	0	8	0
2	0	9	0
2	0	10	0
2	0	11	0
2	1	0	0
2	1	1	0
2	1	2	0
2	1	3	0
2	1	4	0
2	1	5	0
2	1	6	0
2	1	7	0
2	1	8	0
2	1	9	0
2	1	10	0
2	1	11	0
2	2	0	0
2	2	8	0
2	3	0	0
2	3	8	0
2	4	10	0
2	5	10	0
2	6	10	0
2	7	10	0
2	6	6	0
2	7	6	0
2	8	6	0
2	9	6	0
2	10	6	0
2	11	6	0
2	8	11	0
2	9	11	0
2	10	11	0
2	11	11	0
2	12	11	0
2	13	11	0
2	14	11	0
2	15	11	0
2	16	11	0
2	17	11	0
2	18	11	0
2	19	11	0
2	20	11	0
2	21	11	0
2	22	11	0
2	23	11	0
2	24	11	0
2	25	11	0
2	26	11	0
2	27	11	0
2	28	11	0
2	29	11	0
2	30	11	0
2	31	11	0
2	32	11	0
2	33	11	0
2	34	11	0
2	35	11	0
2	36	11	0
2	37	11	0
2	38	11	0
2	39	11	0
2	40	11	0
2	41	11	0
2	42	11	0
2	43	11	0
2	44	11	0
2	45	11	0
2	46	11	0
2	47	11	0
2	42	10	0
2	43	10	0
2	44	10	0
2	45	10	0
2	46	10	0
2	47	10	0
2	46	6	0
2	47	6	0
2	16	0	0
2	17	0	0
2	18	0	0
2	19	0	0
2	20	0	0
2	21	0	0
2	22	0	0
2	23	0	0
2	24	0	0
2	25	0	0
2	26	0	0
2	27	0	0
2	28	0	0
2	29	0	0
2	30	0	0
2	31	0	0
2	32	0	0
2	33	0	0
2	34	0	0
2	35	0	0
2	36	0	0
2	37	0	0
2	38	0	0
2	39	0	0
2	40	0	0
2	41	0	0
2	42	0	0
2	43	0	0
2	44	0	0
2	45	0	0
2	46	0	0
2	47	0	0
2	18	8	0
2	19	8	0
2	26	8	0
2	27	8	0
